Files already downloaded and verified
Market1501 dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   676 |    11744
  val      |    75 |     1192
  trainval |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Files already downloaded and verified
DukeMTMC dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   632 |    14923
  val      |    70 |     1599
  trainval |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
Resuming checkpoints from finetuned model on another dataset...

=> Loaded checkpoint 'ACT_pretrain/logMar/adaM2D.pth'
Mean AP: 49.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          33.3%       52.1%       67.7%
  top-5          45.8%       68.7%       80.3%
  top-10         51.5%       74.5%       83.4%
Iteration 1: Extracting Target Dataset Features...
Computing source distance...
-----* Distance Matrix has been computed*-----
Computing original distance...
-----* Distance Matrix has been computed*-----
done...
Starting re_ranking...
clusters num = 664
Iteration 1 have 13778 training images
Epoch: [0][40/41]	Time 0.637 (1.187)	Data 0.000 (0.097)	Loss 0.072 (0.079)	Prec 100.00% (96.22%)	
Epoch: [0][41/41]	Time 0.363 (1.167)	Data 0.000 (0.095)	Loss 0.049 (0.078)	Prec 97.92% (96.27%)	
Epoch: [1][1/41]	Time 5.578 (5.578)	Data 4.894 (4.894)	Loss 0.068 (0.068)	Prec 95.83% (95.83%)	
Epoch: [1][2/41]	Time 0.372 (2.975)	Data 0.000 (2.447)	Loss 0.080 (0.074)	Prec 95.83% (95.83%)	
Epoch: [1][3/41]	Time 0.548 (2.166)	Data 0.000 (1.632)	Loss 0.037 (0.062)	Prec 100.00% (97.22%)	
Epoch: [1][4/41]	Time 0.584 (1.770)	Data 0.001 (1.224)	Loss 0.092 (0.069)	Prec 94.79% (96.61%)	
Epoch: [1][5/41]	Time 1.208 (1.658)	Data 0.002 (0.980)	Loss 0.085 (0.072)	Prec 90.62% (95.42%)	
Epoch: [1][6/41]	Time 0.843 (1.522)	Data 0.000 (0.816)	Loss 0.031 (0.065)	Prec 97.92% (95.83%)	
Epoch: [1][7/41]	Time 0.623 (1.394)	Data 0.001 (0.700)	Loss 0.092 (0.069)	Prec 94.79% (95.68%)	
Epoch: [1][8/41]	Time 0.772 (1.316)	Data 0.009 (0.614)	Loss 0.089 (0.072)	Prec 93.75% (95.44%)	
Epoch: [1][9/41]	Time 0.699 (1.248)	Data 0.010 (0.547)	Loss 0.056 (0.070)	Prec 98.96% (95.83%)	
Epoch: [1][10/41]	Time 0.776 (1.200)	Data 0.001 (0.492)	Loss 0.092 (0.072)	Prec 95.83% (95.83%)	
Epoch: [1][11/41]	Time 1.139 (1.195)	Data 0.000 (0.447)	Loss 0.120 (0.077)	Prec 87.50% (95.08%)	
Epoch: [1][12/41]	Time 0.751 (1.158)	Data 0.000 (0.410)	Loss 0.056 (0.075)	Prec 98.96% (95.40%)	
Epoch: [1][13/41]	Time 0.879 (1.136)	Data 0.006 (0.379)	Loss 0.052 (0.073)	Prec 100.00% (95.75%)	
Epoch: [1][14/41]	Time 0.659 (1.102)	Data 0.000 (0.352)	Loss 0.063 (0.072)	Prec 100.00% (96.06%)	
Epoch: [1][15/41]	Time 1.011 (1.096)	Data 0.000 (0.328)	Loss 0.066 (0.072)	Prec 98.96% (96.25%)	
Epoch: [1][16/41]	Time 1.034 (1.092)	Data 0.000 (0.308)	Loss 0.069 (0.072)	Prec 97.92% (96.35%)	
Epoch: [1][17/41]	Time 0.609 (1.064)	Data 0.019 (0.291)	Loss 0.053 (0.071)	Prec 98.96% (96.51%)	
Epoch: [1][18/41]	Time 0.500 (1.033)	Data 0.000 (0.275)	Loss 0.035 (0.069)	Prec 97.92% (96.59%)	
Epoch: [1][19/41]	Time 0.928 (1.027)	Data 0.008 (0.261)	Loss 0.048 (0.068)	Prec 97.92% (96.66%)	
Epoch: [1][20/41]	Time 1.058 (1.029)	Data 0.000 (0.248)	Loss 0.070 (0.068)	Prec 95.83% (96.61%)	
Epoch: [1][21/41]	Time 0.851 (1.020)	Data 0.009 (0.236)	Loss 0.096 (0.069)	Prec 93.75% (96.48%)	
Epoch: [1][22/41]	Time 0.653 (1.003)	Data 0.000 (0.226)	Loss 0.038 (0.068)	Prec 100.00% (96.64%)	
Epoch: [1][23/41]	Time 0.582 (0.985)	Data 0.000 (0.216)	Loss 0.092 (0.069)	Prec 96.88% (96.65%)	
Epoch: [1][24/41]	Time 0.396 (0.961)	Data 0.000 (0.207)	Loss 0.086 (0.070)	Prec 98.96% (96.74%)	
Epoch: [1][25/41]	Time 0.445 (0.940)	Data 0.000 (0.199)	Loss 0.112 (0.071)	Prec 91.67% (96.54%)	
Epoch: [1][26/41]	Time 0.701 (0.931)	Data 0.001 (0.191)	Loss 0.071 (0.071)	Prec 97.92% (96.59%)	
Epoch: [1][27/41]	Time 0.973 (0.932)	Data 0.004 (0.184)	Loss 0.062 (0.071)	Prec 97.92% (96.64%)	
Epoch: [1][28/41]	Time 0.823 (0.928)	Data 0.008 (0.178)	Loss 0.074 (0.071)	Prec 96.88% (96.65%)	
Epoch: [1][29/41]	Time 0.699 (0.921)	Data 0.008 (0.172)	Loss 0.055 (0.070)	Prec 100.00% (96.77%)	
Epoch: [1][30/41]	Time 0.718 (0.914)	Data 0.000 (0.166)	Loss 0.064 (0.070)	Prec 98.96% (96.84%)	
Epoch: [1][31/41]	Time 0.518 (0.901)	Data 0.000 (0.161)	Loss 0.076 (0.070)	Prec 95.83% (96.81%)	
Epoch: [1][32/41]	Time 1.071 (0.906)	Data 0.000 (0.156)	Loss 0.053 (0.070)	Prec 97.92% (96.84%)	
Epoch: [1][33/41]	Time 1.000 (0.909)	Data 0.015 (0.152)	Loss 0.100 (0.071)	Prec 94.79% (96.78%)	
Epoch: [1][34/41]	Time 0.498 (0.897)	Data 0.003 (0.147)	Loss 0.079 (0.071)	Prec 93.75% (96.69%)	
Epoch: [1][35/41]	Time 0.694 (0.891)	Data 0.000 (0.143)	Loss 0.080 (0.071)	Prec 91.67% (96.55%)	
Epoch: [1][36/41]	Time 0.865 (0.891)	Data 0.000 (0.139)	Loss 0.083 (0.072)	Prec 95.83% (96.53%)	
Epoch: [1][37/41]	Time 0.806 (0.888)	Data 0.000 (0.135)	Loss 0.071 (0.072)	Prec 94.79% (96.48%)	
Epoch: [1][38/41]	Time 0.539 (0.879)	Data 0.000 (0.132)	Loss 0.072 (0.072)	Prec 96.88% (96.49%)	
Epoch: [1][39/41]	Time 0.392 (0.867)	Data 0.000 (0.128)	Loss 0.086 (0.072)	Prec 97.92% (96.53%)	
Epoch: [1][40/41]	Time 0.833 (0.866)	Data 0.000 (0.125)	Loss 0.065 (0.072)	Prec 97.92% (96.56%)	
Epoch: [1][41/41]	Time 1.041 (0.870)	Data 0.000 (0.122)	Loss 0.116 (0.073)	Prec 89.58% (96.39%)	
Epoch: [2][1/41]	Time 3.069 (3.069)	Data 2.132 (2.132)	Loss 0.067 (0.067)	Prec 93.75% (93.75%)	
Epoch: [2][2/41]	Time 1.059 (2.064)	Data 0.008 (1.070)	Loss 0.100 (0.083)	Prec 93.75% (93.75%)	
Epoch: [2][3/41]	Time 1.081 (1.736)	Data 0.000 (0.714)	Loss 0.037 (0.068)	Prec 97.92% (95.14%)	
Epoch: [2][4/41]	Time 0.500 (1.427)	Data 0.000 (0.535)	Loss 0.045 (0.062)	Prec 100.00% (96.35%)	
Epoch: [2][5/41]	Time 0.542 (1.250)	Data 0.004 (0.429)	Loss 0.119 (0.074)	Prec 91.67% (95.42%)	
Epoch: [2][6/41]	Time 0.526 (1.129)	Data 0.000 (0.357)	Loss 0.052 (0.070)	Prec 96.88% (95.66%)	
Epoch: [2][7/41]	Time 0.919 (1.099)	Data 0.004 (0.307)	Loss 0.053 (0.068)	Prec 100.00% (96.28%)	
Epoch: [2][8/41]	Time 0.831 (1.066)	Data 0.012 (0.270)	Loss 0.077 (0.069)	Prec 93.75% (95.96%)	
Epoch: [2][9/41]	Time 0.708 (1.026)	Data 0.000 (0.240)	Loss 0.092 (0.071)	Prec 89.58% (95.25%)	
Epoch: [2][10/41]	Time 0.622 (0.986)	Data 0.008 (0.217)	Loss 0.066 (0.071)	Prec 96.88% (95.42%)	
Epoch: [2][11/41]	Time 0.683 (0.958)	Data 0.000 (0.197)	Loss 0.107 (0.074)	Prec 94.79% (95.36%)	
Epoch: [2][12/41]	Time 0.702 (0.937)	Data 0.000 (0.181)	Loss 0.075 (0.074)	Prec 95.83% (95.40%)	
Epoch: [2][13/41]	Time 0.577 (0.909)	Data 0.000 (0.167)	Loss 0.059 (0.073)	Prec 94.79% (95.35%)	
Epoch: [2][14/41]	Time 0.993 (0.915)	Data 0.013 (0.156)	Loss 0.049 (0.071)	Prec 98.96% (95.61%)	
Epoch: [2][15/41]	Time 0.909 (0.915)	Data 0.015 (0.147)	Loss 0.046 (0.070)	Prec 98.96% (95.83%)	
Epoch: [2][16/41]	Time 0.547 (0.892)	Data 0.034 (0.140)	Loss 0.116 (0.072)	Prec 89.58% (95.44%)	
Epoch: [2][17/41]	Time 0.313 (0.858)	Data 0.000 (0.131)	Loss 0.069 (0.072)	Prec 95.83% (95.47%)	
Epoch: [2][18/41]	Time 0.600 (0.843)	Data 0.023 (0.125)	Loss 0.040 (0.070)	Prec 100.00% (95.72%)	
Epoch: [2][19/41]	Time 0.601 (0.831)	Data 0.005 (0.119)	Loss 0.084 (0.071)	Prec 93.75% (95.61%)	
Epoch: [2][20/41]	Time 0.639 (0.821)	Data 0.001 (0.113)	Loss 0.105 (0.073)	Prec 91.67% (95.42%)	
Epoch: [2][21/41]	Time 0.675 (0.814)	Data 0.001 (0.108)	Loss 0.057 (0.072)	Prec 98.96% (95.59%)	
Epoch: [2][22/41]	Time 0.315 (0.791)	Data 0.000 (0.103)	Loss 0.042 (0.071)	Prec 100.00% (95.79%)	
Epoch: [2][23/41]	Time 0.507 (0.779)	Data 0.003 (0.099)	Loss 0.037 (0.069)	Prec 100.00% (95.97%)	
Epoch: [2][24/41]	Time 0.781 (0.779)	Data 0.018 (0.095)	Loss 0.069 (0.069)	Prec 92.71% (95.83%)	
Epoch: [2][25/41]	Time 1.196 (0.796)	Data 0.011 (0.092)	Loss 0.085 (0.070)	Prec 93.75% (95.75%)	
Epoch: [2][26/41]	Time 0.814 (0.796)	Data 0.001 (0.088)	Loss 0.067 (0.070)	Prec 100.00% (95.91%)	
Epoch: [2][27/41]	Time 0.886 (0.800)	Data 0.000 (0.085)	Loss 0.089 (0.070)	Prec 94.79% (95.87%)	
Epoch: [2][28/41]	Time 0.506 (0.789)	Data 0.000 (0.082)	Loss 0.083 (0.071)	Prec 92.71% (95.76%)	
Epoch: [2][29/41]	Time 0.696 (0.786)	Data 0.008 (0.079)	Loss 0.066 (0.071)	Prec 96.88% (95.80%)	
Epoch: [2][30/41]	Time 0.596 (0.780)	Data 0.008 (0.077)	Loss 0.043 (0.070)	Prec 100.00% (95.94%)	
Epoch: [2][31/41]	Time 0.775 (0.780)	Data 0.016 (0.075)	Loss 0.072 (0.070)	Prec 96.88% (95.97%)	
Epoch: [2][32/41]	Time 0.813 (0.781)	Data 0.003 (0.073)	Loss 0.130 (0.072)	Prec 89.58% (95.77%)	
Epoch: [2][33/41]	Time 0.931 (0.785)	Data 0.022 (0.071)	Loss 0.062 (0.071)	Prec 100.00% (95.90%)	
Epoch: [2][34/41]	Time 0.789 (0.785)	Data 0.017 (0.070)	Loss 0.058 (0.071)	Prec 96.88% (95.93%)	
